No_;Location;Inventory;Saleable qty
003717;120;.000000;.000000
022985;120;.000000;.000000
004983;120;-4.000000;-4.000000
020105;120;.000000;.000000
007882;120;.000000;.000000
006863;120;.000000;.000000
031360;120;.000000;.000000
001272;120;.000000;.000000
002039;120;.000000;.000000
027533;120;.000000;.000000
020978;120;.000000;.000000
017269;120;.000000;.000000
027538;120;.000000;.000000
015621;120;.000000;.000000
019388;120;.000000;.000000
003564;120;-1.000000;-1.000000
026631;120;.000000;.000000
002093;120;.000000;.000000
016529;120;-3.000000;-3.000000
017490;120;.000000;.000000
003309;120;1.000000;1.000000
030792;120;.000000;.000000
027089;120;.000000;.000000
003238;120;.000000;.000000
004016;120;.000000;.000000
003472;120;5.000000;5.000000
004336;120;.000000;.000000
002694;120;.000000;.000000
017863;120;.000000;.000000
017751;120;.000000;.000000
006722;120;.000000;.000000
002384;120;.000000;.000000
003245;120;.000000;.000000
003490;120;.000000;.000000
020732;120;.000000;.000000
006534;120;12.000000;12.000000
004987;120;.000000;.000000
008581;120;.000000;.000000
000157;120;.000000;.000000
028637;120;.000000;.000000
017759;120;.000000;.000000
006500;120;.000000;.000000
027411;120;.000000;.000000
031187;120;.000000;.000000
018075;120;.000000;.000000
008149;120;.000000;.000000
028644;120;.000000;.000000
005688;120;5.000000;5.000000
020905;120;.000000;.000000
007407;120;.000000;.000000
003649;120;.000000;.000000
003338;120;.000000;.000000
005724;120;-9.000000;-9.000000
027408;120;.000000;.000000
003215;120;.000000;.000000
015320;120;.000000;.000000
021038;120;.297000;.297000
006414;120;.000000;.000000
002606;120;.000000;.000000
028860;120;.000000;.000000
021055;120;30.000000;30.000000
036836;120;.000000;.000000
006681;120;.000000;.000000
002495;120;.000000;.000000
001998;120;.000000;.000000
001857;120;.000000;.000000
025836;120;-1.000000;-1.000000
003412;120;1.000000;1.000000
015008;120;.000000;.000000
036797;120;3.000000;3.000000
025728;120;.000000;.000000
002430;120;.000000;.000000
000874;120;.000000;.000000
005831;120;.000000;.000000
001836;120;.000000;.000000
019975;120;-5.000000;-5.000000
018608;120;.000000;.000000
004474;120;.000000;.000000
004801;120;2.000000;2.000000
018508;120;.000000;.000000
036900;120;.000000;.000000
005413;120;.000000;.000000
000123;120;.000000;.000000
017699;120;.000000;.000000
007693;120;.000000;.000000
004437;120;.000000;.000000
