ar;ItemNo;SalesQty;SalesAmountExclVat;SalesAmountInclVat;BF
2023;002576;7.000000;4868.000000;6085.000000;-2238.260000
2021;028157;11.000000;431.200000;539.000000;249.760000
2021;026469;37.000000;970.400000;1213.000000;283.140000
2020;025769;69.000000;125076.800000;156346.000000;35597.760000
2024;004489;4.000000;1500.800000;1876.000000;674.520000
2022;000806;110.000000;46984.780000;58730.975000;14137.260000
2024;004467;3.000000;693.600000;867.000000;340.110000
2021;029671;34.000000;33588.800000;41986.000000;8015.680000
2023;002630;89.000000;15982.110000;19977.637500;6716.450000
2020;029602;698.880000;126372.700000;157965.875000;49161.850000
2022;011860;4.000000;2284.800000;2856.000000;-282.240000
2020;026167;11.000000;4201.600000;5252.000000;1532.640000
2020;026234;59.000000;80940.000000;101175.000000;25600.800000
2022;022129;72.000000;10882.240000;13602.800000;4891.420000
2023;001096;65.000000;2404.000000;3005.000000;1083.740000
2020;003664;1806.000000;196059.000000;245073.750000;17188.700000
2020;006372;69.000000;1876.800000;2346.000000;879.900000
2021;006503;3.000000;223.200000;279.000000;-145.170000
2024;004106;6.000000;859.200000;1074.000000;168.360000
2021;026596;24.000000;1364.610000;1705.762500;291.090000
2022;004266;65.000000;7901.600000;9877.000000;1884.600000
2023;016068;71.000000;3767.200000;4709.000000;1739.460000
2023;026304;13.000000;1092.000000;1365.000000;514.020000
2022;003532;2.000000;152.000000;190.000000;-1.880000
2020;004785;28.000000;9493.230000;11866.537500;3407.990000
2020;013018;62.000000;14604.000000;18255.000000;8534.200000
2023;020725;5.000000;396.000000;495.000000;162.330000
2022;042490;1.000000;39.200000;49.000000;15.940000
2021;031151;3857.000000;143396.400000;179245.500000;82918.640000
2020;024997;23.000000;717.600000;897.000000;317.760000
2023;042793;273.000000;19422.400000;24278.000000;9370.470000
2020;001176;5.000000;996.000000;1245.000000;507.520000
2022;004770;1.000000;279.200000;349.000000;121.900000
2022;027244;10.000000;6712.000000;8390.000000;-2542.500000
2021;002975;14.000000;3828.800000;4786.000000;1602.240000
2021;021108;6.000000;280.800000;351.000000;82.800000
2020;008871;1.000000;399.200000;499.000000;104.400000
2022;020360;21.000000;91816.800000;114771.000000;19968.080000
2020;019508;16.000000;1324.800000;1656.000000;511.260000
2023;022899;56.000000;4059.200000;5074.000000;2289.040000
2022;002833;1707.520000;188367.440000;235459.300000;6806.790000
2021;018690;224.000000;193521.400000;241901.750000;69277.560000
2020;004742;7.000000;1611.200000;2014.000000;652.550000
2021;005882;1.000000;3200.000000;4000.000000;-998.880000
2023;027255;3.000000;1377.600000;1722.000000;383.630000
2022;025731;266.000000;18876.170000;23595.212500;6808.580000
2023;038535;14.000000;568.800000;711.000000;52.860000
2021;025870;80.000000;60812.000000;76015.000000;25437.920000
2020;011951;13.000000;10078.400000;12598.000000;3271.600000
2023;027161;3.000000;753.600000;942.000000;221.160000
2020;000233;6.000000;3676.800000;4596.000000;1116.150000
2021;015302;12.000000;432.000000;540.000000;-97.800000
2021;004247;51.000000;2443.200000;3054.000000;569.020000
2020;008693;123.000000;96232.000000;120290.000000;22389.920000
2020;028199;2.000000;158.400000;198.000000;82.240000
2021;004511;4.000000;2774.400000;3468.000000;663.440000
2021;002983;1.000000;1039.200000;1299.000000;333.600000
2024;040652;.000000;.000000;.000000;.000000
2024;048267;3.000000;117.600000;147.000000;72.360000
2023;039037;1780.953300;553763.200000;692204.000000;23080.930000
2023;042635;5.000000;208.800000;261.000000;3.050000
2024;034682;15.000000;1308.000000;1635.000000;509.410000
2023;041507;397.000000;38433.010000;48041.262500;15506.770000
2022;001996;7.000000;2066.400000;2583.000000;932.390000
2021;002719;12.000000;374.400000;468.000000;140.160000
2021;005055;8.000000;441.600000;552.000000;98.400000
2020;028143;7.000000;211.200000;264.000000;146.240000
2021;024970;12.000000;682.400000;853.000000;319.520000
2023;031334;65.000000;13692.800000;17116.000000;6127.280000
2022;027421;30.000000;1294.400000;1618.000000;481.700000
2022;023013;88.000000;8836.890000;11046.112500;2882.110000
2020;017003;2.000000;2258.800000;2823.500000;-337.200000
2022;030956;17.000000;1576.160000;1970.200000;215.940000
2022;026452;26.000000;759.940000;949.925000;221.380000
2022;041030;31.000000;8360.000000;10450.000000;2203.710000
2021;006326;219.000000;31364.450000;39205.562500;12986.930000
2020;021168;7135.246400;903475.240000;1129344.050000;250159.900000
2021;026156;20.000000;1081.600000;1352.000000;397.600000
2020;003921;19.000000;8369.600000;10462.000000;3088.940000
2024;003981;5.000000;392.000000;490.000000;102.150000
2021;016145;53.240000;37419.820000;46774.775000;992.540000
