Produktnummer;Lev.prono;Strekkode;Beskrivelse;Sortimentskode;Skien;Porsgrunn;Kristiansand;Tonsberg;Arendal;Sandefjord;Larvik;Stock
950732;950732;5708709507329;CELESTE MONTERINGSSETT DUSJARMATUR 3/4 X 1/2 2STK.;BL;28.000000;11.000000;3.000000;18.000000;15.000000;2.000000;16.000000;NULL
950761;950761;5708709507619;LOP NORTIQ BAMBUS SORTERING TIL SKUFF;BL;4.000000;NULL;.000000;.000000;8.000000;.000000;7.000000;NULL
950882;950882;5708709508821;NORTIQ LUFTBLANDER 22MM M/INV.GJENGER;BL;21.000000;6.000000;4.000000;22.000000;10.000000;4.000000;8.000000;NULL
952;952;5060209630199;CT1 FUG OG LIM LYSEGRÅ;HL;26.000000;12.000000;25.000000;4.000000;30.000000;9.000000;24.000000;NULL
955;955;5060209630120;CT1 SUPERFAST HURTIGLIM 50ML;HL;.000000;NULL;NULL;8.000000;.000000;5.000000;11.000000;NULL
960065;960065;5708950960065;REGULATORSETT TIL GASSFLASKE;VT;1.000000;NULL;2.000000;NULL;5.000000;6.000000;2.000000;NULL
960066;960066;5708959600665;SLANGE TIL GASSOVN;VT;3.000000;NULL;4.000000;2.000000;1.000000;3.000000;2.000000;NULL
9609411820;9609411820;5709058054748;UNI xxKLOSETTSKRUER M/PLUGG 4 STK.;UT;.000000;.000000;.000000;.000000;.000000;-2.000000;.000000;NULL
961;961;5060209630373;C-TEC MULTIRENS 200;HL;8.000000;NULL;NULL;.000000;17.000000;4.000000;NULL;NULL
96118000;96118000;4011097247700;MÅN xxHANSGROHE MONTERINGSSKIVE 2PK.;UT;.000000;NULL;.000000;.000000;.000000;10.000000;.000000;NULL
96430034;96430034;5701581002074;NORDLUX TILOS NEDGRAV 3KIT 230V LED RS;BL;5.000000;1.000000;1.000000;3.000000;1.000000;4.000000;9.000000;NULL
967;967;5060209630366;PEEL TEC MALINGSFJERNER;HL;23.000000;NULL;10.000000;14.000000;21.000000;NULL;NULL;NULL
96720;96720;5709057470655;UNI xxIFØ KERAMISK VISKELÆR;UT;.000000;4.000000;NULL;-2.000000;.000000;-2.000000;.000000;NULL
9737881004;9737881004;5709058053628;UNI xxOVERGANG  1/2 UTV. X 3/4 INNV.;UT;.000000;.000000;.000000;.000000;.000000;-7.000000;.000000;NULL
9738;9738;7315549738004;RØR RÖRETS STRYKEBRETT NEXT;BL;5.000000;NULL;NULL;.000000;2.000000;2.000000;2.000000;NULL
9740923704;9740923704;5709058054618;UNI xxKULETAPPEKRAN M/SLANGE KUPL. 1/2;UT;.000000;.000000;.000000;.000000;-1.000000;.000000;.000000;NULL
9743171040;9743171040;5709058158545;UNI xxNIPPELMUFFE 1/2" 40 MM KROM;UT;.000000;.000000;.000000;.000000;NULL;.000000;.000000;NULL
9743522403;9743522403;5709058138509;UNI xxMINI KULEKRAN 3/8" INN/UT;UT;.000000;.000000;.000000;2.000000;-7.000000;.000000;-1.000000;NULL
9743522804;9743522804;5709058138516;UNI xxMINI KULEKRAN 1/2" INN/UT;UT;.000000;.000000;.000000;.000000;5.000000;.000000;.000000;NULL
9744524123;9744524123;5709058138479;UNI xxPIPEFIX KUPLING 1/2" X 10MM;UT;.000000;.000000;.000000;.000000;4.000000;-7.000000;.000000;NULL
9747001710;9747001710;5709058054731;UNI xxSKUMPAKNING F/SERVANTVENTIL 1 1/4;UT;.000000;.000000;.000000;.000000;-12.000000;.000000;.000000;NULL
9750314810;9750314810;5709058068370;UNI xxVENTILSETT FOR FOR VANNLÅS 1 1/4" U/PLUGG;UT;.000000;.000000;.000000;.000000;5.000000;.000000;.000000;NULL
9750332010;9750332010;5709058053451;UNI xxVEGGROSETT HØY 32MM HVIT PLAST;UT;.000000;NULL;NULL;-2.000000;.000000;.000000;.000000;NULL
9750361421;9750361421;5709058072322;UNI xxBEND 1 1/2"INNV.  X 32MM KROM;UT;-1.000000;1.000000;.000000;.000000;19.990000;-1.000000;-1.000000;NULL
978;978;5701137009786;BØR xxELASTISK HYSSING 6MM HVIT/BLÅ;UT;-1.000000;NULL;NULL;NULL;.000000;.000000;-7.000000;NULL
98320;98320;7023670983209;FLEXIT MOTOR RESERVE ULV/UKV 165W;BL;NULL;NULL;NULL;2.000000;NULL;4.000000;1.000000;NULL
98501-2;98501-2;7332844258471;EIA SENSO KITCHEN RØREBOLLE 3L MED LOKK;HL;NULL;NULL;NULL;.000000;NULL;2.000000;NULL;NULL
99.36;99.36;5701951122159;VTR xxPAKNINGSSETT 1/2"-3/8"3/4"-1"1 1/4"-1 1/2" 22.1 24.1MM;UT;.000000;.000000;.000000;.000000;NULL;NULL;.000000;NULL
997815;997815;7021989978152;MÅN xxSG CON TAKSPOTTER 4X6W LED 230V BØRSTET STÅL;UT;.000000;NULL;5.000000;.000000;-1.000000;4.000000;.000000;NULL
9M26S101;9M26S101;4047289984191;TIM GUSTAVSBERG NAUTIC HARDT SETE M/SOFTCLOSE HVIT;HL;17.000000;7.000000;32.000000;18.000000;17.000000;22.000000;15.000000;NULL
9M78S101;9M78S101;4051202264116;TIM V&B SUBWAY 2.0 SLIM TOALETTSETE M/SOFTCLOSE OG QR;HL;.000000;7.000000;.000000;4.000000;7.000000;4.000000;3.000000;NULL
5657023406;5657023406;4058075808355;MÅN OSRAM LED RETRO STD 8W/827 75W E27 MATT;BL;3.000000;NULL;NULL;NULL;10.000000;2.000000;6.000000;NULL
5657023422;5657023422;4052899951433;MÅN OSRAM LED RETRO STD 7W/827 60W E27 KLAR;BL;8.000000;.000000;NULL;.000000;6.000000;3.000000;3.000000;NULL
5657023574;5657023574;4052899390133;MÅN OSRAM LED SST PAR16 3.1W/827 35W GU10 36 DIMBAR;BL;-11.000000;.000000;NULL;.000000;13.000000;4.000000;.000000;NULL
5657023590;5657023590;4058075813557;MÅN xxOSRAM LED STAR R50 2.8W/827 19W E14 60°;UT;-10.000000;NULL;NULL;NULL;3.000000;1.000000;.000000;NULL
5657023600;5657023600;4052899963184;MÅN xxOSRAM LED STAR R50 3.5W/827 46W E14 36°;UT;2.000000;NULL;NULL;NULL;11.000000;.000000;-1.000000;NULL
5657023639;5657023639;4058075809277;MÅN OSRAM LED STAR+ MS STD 9W/827 60W E27 MATT;BL;1.000000;NULL;NULL;.000000;9.000000;3.000000;.000000;NULL
5657023668;5657023668;4058075024434;MÅN OSRAM SUBSTITUBE STAR 7.6W/830 - EM;BL;9.000000;NULL;NULL;NULL;9.000000;4.000000;3.000000;NULL
5657027538;5657027538;4058075094956;EIM xxOSRAM PARATHOM DIM MR16 5W/827 (35W) 36°;UT;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
5657027677;5657027677;4058075100978;OSRAM xxPARATHOM DIM E27 7,5W/827 (60W) KLAR;UT;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
5657027897;5657027897;4058075101210;OSRAM xxPARATHOM DIM KERTE E14 5W/827 (40W);UT;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
5657028032;5657028032;4058075101319;OSRAM xxPARATHOM DIM KRONE E14 3,3W/827 (25W);UT;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
5657028074;5657028074;4058075101432;OSRAM xxPARATHOM DIM KRONE E27 5W/827 (40W);UT;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
5657029248;5657029248;4058075135543;OSRAM LEDINESTRA DIM S14d 4,5W/827 (25W);BL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
5657029264;5657029264;4058075135581;EIM xxOSRAM LEDINESTRA DIM S14d 7W/827 (40W);UT;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
56903525;56903525;7319001797394;ANI VVS LH TRESKRUE A2-POL 3.5X25 Z2;BL;5.000000;NULL;NULL;NULL;6.000000;1.000000;6.000000;NULL
56904040;56904040;7319001798049;ANI VVS LH TRESKRUE A2-POL 4X40 Z2;BL;-2.000000;NULL;NULL;NULL;4.000000;6.000000;5.000000;NULL
